"국가별",1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999
"국가별",초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리
"볼리비아",-,22.18,53.88,-,-,17.89,18.43,55.57,-,-,24.51,18.87,51.02,-,22.42,19.93,19.16,55.97,-,20.27,13.65,14.73,50.05,-,13.97,12.33,12.82,39.41,-,12.57,14.07,12.26,35.37,-,13.49
"브라질",-,3293.50,-,-,3284.44,-,5175.24,-,-,4820.64,49.93,52.25,-,-,53.37,25.73,26.45,-,-,27.45,24.79,24.35,78.19,-,25.00,28.57,28.00,86.36,-,29.50,26.39,26.02,80.44,-,26.26
"칠레",-,18.24,24.35,-,-,-,15.12,20.34,-,-,-,13.73,18.16,-,-,-,13.48,17.37,-,-,-,12.02,15.67,-,-,-,14.92,20.17,-,-,-,8.56,12.62,-,7.96
"콜롬비아",-,25.84,35.28,-,-,-,29.42,39.86,-,-,-,32.34,42.08,-,22.40,-,31.15,41.36,-,28.37,-,24.13,33.71,-,23.83,-,32.58,41.60,-,35.00,-,21.33,29.43,-,18.81
"코스타리카",-,16.90,30.02,-,-,-,17.72,33.03,-,-,-,23.88,36.70,-,-,-,17.29,26.27,-,-,-,13.03,22.48,-,-,-,12.76,22.47,-,-,-,14.31,25.74,-,-
"도미니카연방",6.40,4.19,11.92,-,-,6.40,4.50,11.61,-,-,6.40,4.20,11.50,-,-,6.40,4.30,11.43,-,-,6.40,4.27,11.17,-,-,6.40,4.23,11.27,-,-,6.40,4.38,11.40,-,-
"도미니카공화국",-,14.04,29.89,-,-,-,13.70,28.68,-,-,-,14.94,30.68,-,-,-,13.91,23.73,-,14.70,-,13.40,21.01,-,13.01,-,17.65,25.64,-,16.68,-,16.07,25.05,-,15.30
"그레나다",-,3.88,11.83,-,-,-,3.61,11.03,-,-,-,3.67,11.08,-,-,-,3.74,9.99,-,-,-,3.93,11.24,-,-,-,4.16,11.73,-,-,-,4.30,11.62,-,-
"과테말라",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.83,18.64,-,-,-,5.44,16.56,-,-,-,7.96,19.51,-,-
"가이아나",16.83,12.26,19.36,-,-,17.66,11.42,18.36,-,-,17.51,12.90,19.22,-,-,11.35,10.49,17.79,-,-,8.91,8.56,17.04,-,-,8.33,8.10,16.77,-,-,11.31,9.08,17.11,-,-
"아이티",-,-,-,-,-,-,-,10.50,-,-,-,-,12.99,-,-,-,-,20.08,-,-,-,-,14.26,-,-,-,-,15.75,-,-,-,-,15.09,-,-
"온두라스",-,11.60,22.06,-,-,-,11.56,24.68,-,-,-,11.97,26.95,-,-,-,16.70,29.74,-,-,-,21.28,32.07,-,-,-,18.58,30.69,-,-,-,19.97,30.15,-,-
"자메이카",28.85,27.71,43.71,-,-,42.98,36.57,49.46,-,-,27.65,23.31,43.58,-,-,37.95,25.17,39.83,-,-,21.14,13.87,32.86,-,-,25.65,16.40,31.59,-,24.44,20.75,14.12,27.01,-,21.50
"몬트세랫",-,3.44,13.12,-,-,-,3.25,13.06,-,-,-,3.24,12.63,-,-,-,3.29,12.37,-,-,-,3.02,12.37,-,-,-,2.74,12.15,-,-,-,3.14,11.52,-,-
"네덜란드령 안틸레스",4.83,4.33,12.59,8.14,-,4.48,4.05,12.73,7.48,-,5.46,3.75,12.93,8.02,-,5.66,3.67,13.21,8.25,-,5.77,3.66,13.29,8.67,-,5.82,3.58,13.58,8.60,-,6.15,3.59,13.60,8.75,-
"니카라과",-,14.12,16.55,-,-,-,14.22,16.48,-,-,-,13.56,16.28,-,-,-,15.01,16.95,-,-,-,15.09,17.20,-,-,-,13.10,17.70,-,-,-,11.83,17.57,-,-
"파나마",-,5.90,-,-,-,-,6.11,-,-,-,-,7.18,-,-,-,-,7.20,10.99,-,-,-,7.03,10.99,-,-,-,6.76,11.19,-,-,-,6.92,10.39,-,-
"파라과이",-,17.36,-,-,22.55,-,18.16,40.99,-,18.64,-,16.62,39.23,-,20.18,-,13.47,36.85,-,16.35,-,10.21,32.11,-,12.48,-,16.20,35.23,-,20.74,-,19.75,34.91,-,17.26
"페루",-,44.14,94.24,-,-,-,22.35,55.35,-,-,-,15.70,36.16,-,9.64,-,14.90,31.53,-,13.11,-,15.01,30.91,-,12.80,-,15.11,32.63,-,18.96,-,16.27,35.06,-,15.08
"세인트키츠네비스",6.50,4.39,10.28,-,-,6.50,3.99,10.94,-,-,6.50,4.52,10.89,-,-,6.50,4.27,10.92,-,-,6.50,4.27,11.16,-,-,6.50,4.22,11.42,-,-,6.50,4.31,11.21,-,-
"세인트루시아",-,4.04,11.81,-,-,-,3.83,11.06,-,-,-,4.43,12.68,-,-,-,4.50,12.82,-,-,-,4.65,12.68,-,-,-,4.80,11.40,-,-,-,4.76,12.79,-,-
"세인트빈센트그레나딘",6.50,3.90,11.92,-,-,6.50,3.89,11.73,-,-,6.50,4.34,11.07,-,-,6.50,4.14,11.23,-,-,6.50,4.21,11.29,-,-,6.50,4.27,11.31,-,-,6.50,4.46,11.55,-,-
"수리남",-,4.75,9.35,-,-,-,7.45,15.38,-,-,-,21.00,40.33,-,-,-,17.78,35.93,-,-,-,17.35,33.15,-,-,-,15.95,27.08,-,-,-,15.60,27.38,-,-
"트리니다드토바고",9.45,7.06,15.50,-,-,10.00,6.91,15.98,-,-,8.41,6.42,15.17,-,-,10.44,7.94,15.79,-,-,9.83,6.91,15.33,-,-,11.93,7.95,17.33,-,-,10.40,8.51,17.04,-,-
"우루과이",49.08,63.36,94.34,-,34.50,44.60,59.49,92.16,-,39.82,39.40,61.52,96.05,-,36.81,29.20,45.26,88.70,-,28.47,23.18,31.54,69.35,-,23.43,16.48,24.28,56.14,-,20.48,-,22.92,51.64,-,13.96
"베네수엘라",-,53.75,59.90,-,-,-,39.02,54.66,-,-,-,24.72,39.74,-,-,-,27.58,39.41,-,16.70,-,14.70,23.69,-,12.47,-,34.84,46.35,-,18.58,-,21.28,32.13,31.12,7.48
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"알바니아",-,27.33,29.58,-,-,13.98,19.83,23.67,-,-,13.47,15.30,19.65,-,-,17.81,16.78,23.96,-,-,32.59,27.28,32.71,-,-,27.49,22.56,-,-,-,17.54,12.95,21.62,-,-
"오스트리아",-,-,-,6.71,-,-,-,-,7.03,-,-,-,-,7.13,-,-,-,-,6.32,-,-,-,-,5.68,-,-,-,-,4.71,-,-,-,-,4.68,-
"벨라루스",-,65.08,71.63,-,-,-,89.60,148.50,-,-,-,100.82,175.00,-,-,-,32.36,62.33,-,-,-,15.64,31.80,-,-,-,14.33,26.99,-,-,-,23.80,51.04,-,-
"벨기에",8.52,-,-,7.23,-,5.57,-,-,7.75,-,4.67,-,-,7.48,-,3.20,-,-,6.49,-,3.38,-,-,5.75,-,3.51,-,-,4.75,-,2.72,-,-,4.75,-
"불가리아",-,-,76.86,-,47.18,-,-,102.52,-,65.20,-,-,79.36,-,52.10,-,-,291.06,-,117.66,-,-,213.02,-,65.20,-,-,14.08,-,2.43,-,-,13.50,-,2.87
"크로아티아",-,379.31,1443.61,-,1370.50,-,6.52,22.91,-,26.93,-,5.52,20.24,-,21.13,-,5.59,22.52,-,17.60,-,4.30,15.47,-,9.71,-,4.62,15.75,-,11.05,-,4.31,14.94,-,10.43
"체코",8.34,7.03,14.07,-,13.15,6.46,7.07,13.12,-,9.11,8.54,6.96,12.80,-,10.95,10.52,6.79,12.54,-,12.02,10.93,7.71,13.20,-,16.00,14.15,8.08,12.81,-,14.33,7.22,4.48,8.68,-,6.85
"덴마크",-,-,-,7.30,-,-,-,-,7.83,-,-,-,-,8.27,-,-,-,-,7.19,-,-,-,-,6.25,-,-,-,-,4.94,-,-,-,-,4.91,-
"핀란드",-,-,-,8.83,7.77,-,-,-,9.04,5.35,-,-,-,8.79,5.75,-,-,-,7.08,3.63,-,-,-,5.96,3.23,-,-,-,4.79,3.57,-,-,-,4.72,2.96
"프랑스",-,4.50,-,6.78,-,-,4.50,-,7.22,-,-,4.50,-,7.54,-,-,3.67,-,6.31,-,-,3.50,-,5.58,-,-,3.21,-,4.64,-,-,2.69,-,4.61,-
"독일",-,-,-,6.51,-,-,-,-,6.87,-,-,-,-,6.85,-,-,-,-,6.22,-,-,-,-,5.64,-,-,-,-,4.57,-,-,-,-,4.49,-
"그리스",-,-,-,23.27,-,-,-,-,20.70,-,-,-,-,16.96,-,-,-,-,14.43,-,-,-,-,9.92,-,-,-,-,8.48,-,-,-,-,6.30,-
"헝가리",17.22,15.04,25.43,-,-,26.93,19.51,27.40,-,-,32.04,24.77,32.61,-,-,23.96,20.63,27.31,-,-,20.13,17.66,21.77,-,-,17.83,15.41,19.28,-,-,14.68,12.65,16.34,-,-
